SK_ID_CURR,NAME_CONTRACT_TYPE,CODE_GENDER,FLAG_OWN_CAR,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,AMT_GOODS_PRICE,NAME_TYPE_SUITE,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,REGION_POPULATION_RELATIVE,DAYS_BIRTH,DAYS_EMPLOYED,DAYS_REGISTRATION,DAYS_ID_PUBLISH,OWN_CAR_AGE,FLAG_WORK_PHONE,OCCUPATION_TYPE,REGION_RATING_CLIENT,REGION_RATING_CLIENT_W_CITY,WEEKDAY_APPR_PROCESS_START,LIVE_REGION_NOT_WORK_REGION,REG_CITY_NOT_LIVE_CITY,LIVE_CITY_NOT_WORK_CITY,ORGANIZATION_TYPE,EXT_SOURCE_1,EXT_SOURCE_2,EXT_SOURCE_3,APARTMENTS_AVG,ENTRANCES_AVG,FLOORSMAX_AVG,LIVINGAREA_AVG,APARTMENTS_MODE,FLOORSMAX_MODE,APARTMENTS_MEDI,YEARS_BEGINEXPLUATATION_MEDI,ENTRANCES_MEDI,FLOORSMAX_MEDI,TOTALAREA_MODE,WALLSMATERIAL_MODE,DEF_30_CNT_SOCIAL_CIRCLE,DEF_60_CNT_SOCIAL_CIRCLE,DAYS_LAST_PHONE_CHANGE,FLAG_DOCUMENT_3,FLAG_DOCUMENT_8,FLAG_DOCUMENT_18,AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_WEEK,AMT_REQ_CREDIT_BUREAU_QRT,DOCUMENT_COUNT,NEW_DOC_KURT,AGE_RANGE,EXT_SOURCES_PROD,EXT_SOURCES_WEIGHTED,EXT_SOURCES_MIN,EXT_SOURCES_MAX,EXT_SOURCES_MEAN,EXT_SOURCES_NANMEDIAN,EXT_SOURCES_VAR,CREDIT_TO_ANNUITY_RATIO,CREDIT_TO_GOODS_RATIO,ANNUITY_TO_INCOME_RATIO,CREDIT_TO_INCOME_RATIO,INCOME_TO_EMPLOYED_RATIO,INCOME_TO_BIRTH_RATIO,EMPLOYED_TO_BIRTH_RATIO,ID_TO_BIRTH_RATIO,CAR_TO_BIRTH_RATIO,CAR_TO_EMPLOYED_RATIO,PHONE_TO_BIRTH_RATIO,GROUP_EXT_SOURCES_MEDIAN,GROUP_EXT_SOURCES_STD,GROUP_INCOME_MEAN,GROUP_INCOME_STD,GROUP_CREDIT_TO_ANNUITY_MEAN,GROUP_CREDIT_TO_ANNUITY_STD,GROUP_CREDIT_MEAN,GROUP_ANNUITY_MEAN,GROUP_ANNUITY_STD
100001,0,1,0,135000.0,568800.0,20560.5,450000.0,0,0,1,1,0,0.01884,-19241,-2328.0,-5170.0,-812,,0,-1,2,2,6,0,0,0,13,0.7524,0.7896,0.1595,0.066,0.138,0.125,0.0505,0.0672,0.125,0.0666,0.973,0.138,0.125,0.0392,0,0.0,0.0,-1740.0,1,0,0,0.0,0.0,0.0,1,20.0,4,0.0948,2.773,0.1595,0.7896,0.5674,0.7524,0.0834,27.67,1.264,0.1523,4.215,-57.96479175611851,-7.016,0.12103,0.0422,,,0.09045,,,,,,,,,
100005,0,0,0,99000.0,222768.0,17370.0,180000.0,0,0,0,1,0,0.0358,-18064,-4468.0,-9120.0,-1623,,0,13,2,2,5,0,0,0,9,0.565,0.2917,0.4329,,,,,,,,,,,,-1,0.0,0.0,,1,0,0,0.0,0.0,0.0,1,20.0,3,0.07135,2.72,0.2917,0.565,0.43,0.4329,0.01246,12.83,1.237,0.1754,2.25,-22.152606847169388,-5.48,0.2474,0.08984,,,,0.4692,0.1594,144784.89,69179.2,18.22,6.05,444617.7,23512.291,11345.422
100013,0,0,1,202500.0,663264.0,69777.0,630000.0,-1,0,1,1,0,0.0191,-20038,-4456.0,-2176.0,-3503,5.0,0,4,2,2,1,0,0,0,25,,0.6997,0.611,,,,,,,,,,,,-1,0.0,0.0,-856.0,0,1,0,0.0,0.0,1.0,1,20.0,4,,,0.611,0.6997,0.6553,0.6553,0.00197,9.51,1.053,0.3445,3.275,-45.423956931359356,-10.11,0.2225,0.1748,-0.0002496,-0.0011215,0.04272,0.5854,0.1508,202950.0,66572.87,19.22,9.11,589037.4,30786.863,13014.187
100028,0,1,0,315000.0,1575000.0,49018.5,1575000.0,0,0,0,1,0,0.0264,-13976,-1866.0,-2000.0,-4208,,0,5,2,2,0,0,0,0,0,0.526,0.51,0.613,0.3052,0.276,0.375,0.3672,0.3108,0.375,0.308,0.997,0.276,0.375,0.37,2,0.0,0.0,-1805.0,1,0,0,0.0,0.0,0.0,1,20.0,2,0.1642,3.398,0.51,0.613,0.5493,0.526,0.002048,32.12,1.0,0.1556,5.0,-168.81028938906752,-22.53,0.1335,0.301,,,0.1292,0.4714,0.1415,143806.94,70833.734,19.9,7.34,522139.44,25735.299,12882.262
100038,0,0,1,180000.0,625500.0,32067.0,625500.0,0,0,0,1,0,0.01003,-13040,-2192.0,-4000.0,-4262,16.0,1,-1,2,2,5,0,0,1,0,0.2021,0.4258,,,,,,,,,,,,,-1,0.0,0.0,-821.0,1,0,0,,,,1,20.0,2,,,0.2021,0.4258,0.314,0.314,0.01249,19.5,1.0,0.1781,3.475,-82.15426745778184,-13.805,0.168,0.327,-0.001227,-0.0073,0.063,,,,,,,,,
100042,0,1,1,270000.0,959688.0,34600.5,810000.0,0,1,0,1,0,0.02516,-18604,-12010.0,-6116.0,-2027,10.0,0,4,2,2,1,0,0,0,2,,0.629,0.3928,0.2412,0.138,0.3333,0.2218,0.2458,0.3333,0.2437,0.982,0.138,0.3333,0.2151,1,0.0,0.0,-1705.0,0,1,0,0.0,0.0,1.0,1,20.0,4,,,0.3928,0.629,0.5107,0.5107,0.01394,27.73,1.185,0.1282,3.555,-22.483137646764927,-14.516,0.6455,0.10895,-0.0005374,-0.0008326,0.0917,0.6104,0.1317,213490.39,99074.27,22.8,7.19,766973.75,33735.98,13921.508
100057,0,0,1,180000.0,499221.0,22117.5,373500.0,0,0,1,1,0,0.0228,-16685,-2580.0,-10130.0,-241,3.0,0,11,2,2,2,0,0,1,38,0.7607,0.5713,0.6514,,,,,,,,,,,,-1,0.0,0.0,-1182.0,1,0,0,0.0,0.0,0.0,1,20.0,3,0.283,4.047,0.5713,0.7607,0.661,0.6514,0.00605,22.58,1.337,0.12286,2.773,-69.76744186046511,-10.79,0.1547,0.01444,-0.0001798,-0.001163,0.07086,0.569,0.135,279792.0,130702.164,21.36,7.582,763054.56,33851.7,15909.83
100065,0,0,0,166500.0,180000.0,14220.0,180000.0,0,0,1,0,2,0.005142,-9516,-1387.0,-5064.0,-2055,,1,1,2,2,5,0,0,0,9,0.5654,0.613,0.3123,,,,,,,,,,,,-1,0.0,0.0,-1182.0,0,1,0,0.0,0.0,0.0,1,20.0,1,0.1083,2.682,0.3123,0.613,0.4968,0.5654,0.01741,12.66,1.0,0.0854,1.081,-120.04325883201153,-17.5,0.1458,0.216,,,0.1242,0.4214,0.1487,195220.6,87089.4,16.94,7.234,467473.25,27346.896,12610.436
100066,0,1,0,315000.0,364896.0,28957.5,315000.0,0,1,1,1,0,0.04623,-12744,-1013.0,-1686.0,-3171,,0,1,1,1,2,0,0,0,1,0.7188,0.8086,0.5225,0.1031,0.2069,0.1667,,0.105,0.1667,0.1041,0.978,0.2069,0.1667,0.0702,0,0.0,0.0,-829.0,1,0,0,0.0,0.0,0.0,1,20.0,2,0.3037,3.814,0.5225,0.8086,0.683,0.7188,0.01426,12.6,1.158,0.0919,1.158,-310.9575518262586,-24.72,0.07947,0.2488,,,0.06506,0.53,0.1321,160703.05,72351.54,21.36,8.016,620841.8,28036.057,14798.977
100067,0,1,1,162000.0,45000.0,5337.0,45000.0,1,0,1,2,0,0.01863,-10395,-2624.0,-8124.0,-3041,5.0,1,5,2,2,6,0,0,0,23,0.2106,0.4448,0.1941,,,,,,,,,,,,-1,0.0,0.0,-1423.0,1,0,0,0.0,0.0,0.0,1,20.0,2,0.01817,1.448,0.1941,0.4448,0.2832,0.2106,0.013115,8.43,1.0,0.03296,0.2778,-61.714285714285715,-15.586,0.2524,0.2925,-0.000481,-0.0019045,0.1368,0.473,0.1372,155755.06,51050.594,19.2,7.758,495428.34,24520.5,14780.931
100074,0,1,0,67500.0,675000.0,25447.5,675000.0,0,3,0,1,0,0.003122,-23670,,-7490.0,-4136,,0,-1,3,3,6,0,0,0,5,,0.66,0.2986,0.0216,0.1034,0.0417,0.0113,0.0221,0.0417,0.0219,0.978,0.1034,0.0417,0.0136,0,0.0,0.0,-1671.0,1,0,0,0.0,0.0,0.0,1,20.0,4,,,0.2986,0.66,0.4792,0.4792,0.03265,26.53,1.0,0.377,10.0,,-2.852,,0.1747,,,0.0706,,,,,,,,,
100090,0,1,0,135000.0,261621.0,16848.0,216000.0,0,0,0,3,0,0.00802,-15524,-3556.0,-7830.0,-3985,,0,0,2,2,5,0,0,1,9,0.757,0.3938,0.4365,,,,,,,,,,,,-1,0.0,0.0,-1097.0,1,0,0,0.0,0.0,0.0,1,20.0,3,0.13,3.217,0.3938,0.757,0.529,0.4365,0.02625,15.53,1.211,0.1248,1.9375,-37.9746835443038,-8.695,0.229,0.2566,,,0.0707,0.5376,0.1389,145230.7,65336.594,21.03,7.523,562432.4,25884.654,12269.646
100091,0,1,0,247500.0,296280.0,23539.5,225000.0,0,0,0,2,0,0.01863,-12278,-929.0,-6030.0,-4586,,0,-1,2,2,2,0,0,0,9,0.2632,0.47,0.4153,,,,,,,,,,,,-1,1.0,0.0,-619.0,1,0,0,0.0,0.0,1.0,1,20.0,2,0.0514,2.242,0.2632,0.47,0.3828,0.4153,0.007656,12.586,1.316,0.0951,1.197,-266.4155005382131,-20.16,0.0757,0.3735,,,0.0504,,,,,,,,,
100092,0,1,1,90000.0,360000.0,18535.5,360000.0,0,0,0,1,0,0.01452,-19687,-3578.0,-10670.0,-3183,3.0,0,1,2,2,6,0,0,1,2,0.305,0.2703,0.3757,,,,,,,,,,,,-1,0.0,0.0,-1414.0,1,0,0,0.0,0.0,1.0,1,20.0,4,0.03096,2.008,0.2703,0.3757,0.317,0.305,0.001925,19.42,1.0,0.2059,4.0,-25.15371716042482,-4.57,0.1818,0.1616,-0.0001523,-0.0008383,0.07184,0.5645,0.137,148694.6,68971.84,22.69,7.555,605388.9,26163.957,12906.471
100106,1,0,0,180000.0,157500.0,7875.0,157500.0,2,0,0,2,0,0.03134,-12091,-1830.0,-1042.0,-4221,,0,0,2,2,6,0,1,0,0,,0.4858,0.5796,,,,,,,,,,,,-1,0.0,0.0,-765.0,0,0,0,0.0,0.0,0.0,0,0.0,2,,,0.4858,0.5796,0.5327,0.5327,0.002207,20.0,1.0,0.04376,0.875,-98.36065573770492,-14.89,0.1514,0.349,,,0.0633,0.4495,0.1478,177146.22,75291.04,19.2,7.562,532695.1,27155.541,13069.191
100107,0,0,1,180000.0,296280.0,21690.0,225000.0,0,0,0,2,0,0.03256,-13563,-1007.0,-5720.0,-4044,14.0,0,0,1,1,6,0,0,0,0,0.3442,0.6846,0.2637,0.0371,0.138,0.125,0.0613,0.0378,0.125,0.0375,0.951,0.138,0.125,0.0484,0,0.0,0.0,-317.0,0,1,0,0.0,0.0,1.0,1,20.0,2,0.0621,2.164,0.2637,0.6846,0.4307,0.3442,0.03326,13.66,1.316,0.1205,1.646,-178.74875868917576,-13.27,0.0742,0.298,-0.001032,-0.0139,0.02338,0.4495,0.1478,177146.22,75291.04,19.2,7.562,532695.1,27155.541,13069.191
100109,0,1,1,202500.0,407520.0,26041.5,360000.0,0,0,0,0,0,0.00702,-19375,-4740.0,-3036.0,-2895,11.0,1,0,2,2,4,0,0,0,17,0.583,0.6353,0.3062,,,,,,,,,,,,-1,0.0,0.0,-2154.0,1,0,0,0.0,0.0,0.0,1,20.0,4,0.1134,2.72,0.3062,0.6353,0.5083,0.583,0.02083,15.65,1.132,0.1285,2.012,-42.73053386790462,-10.45,0.2446,0.1494,-0.000568,-0.002321,0.11115,0.6035,0.1326,175636.36,49544.53,23.3,8.58,684232.75,29606.592,13400.462
100117,0,0,1,90000.0,499221.0,22117.5,373500.0,0,3,0,1,0,0.003122,-22705,,-5108.0,-5990,15.0,0,-1,3,3,5,0,0,0,5,0.5874,0.647,0.653,,,,,,,,,,,,-1,0.0,0.0,-1132.0,1,0,0,0.0,0.0,1.0,1,20.0,4,0.2479,3.78,0.5874,0.653,0.629,0.647,0.000879,22.58,1.337,0.2457,5.547,,-3.965,,0.264,-0.0006604,,0.04987,,,,,,,,,
