feature,gain,split
EXT_SOURCES_MEAN,629481.6647017956,1589.0
EXT_SOURCES_NANMEDIAN,287163.0908817768,1301.2
EXT_SOURCES_MIN,231045.74673056602,1310.7
EXT_SOURCES_MAX,130571.62270464897,1021.2
CREDIT_TO_ANNUITY_RATIO,94137.1227643013,2319.3
CREDIT_TO_GOODS_RATIO,69546.15940265656,1174.8
EXT_SOURCE_3,67294.68320708275,1452.6
BUREAU_CONSUMER_DAYS_CREDIT_ENDDATE_MAX,43178.548326778415,1216.2
DAYS_EMPLOYED,42986.45817799568,1024.8
DAYS_BIRTH,39803.45390057564,1496.9
BUREAU_ACTIVE_DEBT_CREDIT_DIFF_MEAN,35030.15370397568,919.4
AMT_ANNUITY,34759.389061307906,1167.0
EXT_SOURCE_1,34552.67531671524,1179.9
EMPLOYED_TO_BIRTH_RATIO,33519.56799955368,1006.1
LAST_LOAN_LATE_PAYMENT_mean,32559.524403953554,499.3
LAST_LOAN_DPD_mean,31603.716828250886,416.6
EXT_SOURCES_PROD,31217.961121034623,772.9
CODE_GENDER,30445.84693841934,565.6
GROUP_CREDIT_TO_ANNUITY_MEAN,29998.19330444336,986.5
CURRENT_TO_APPROVED_ANNUITY_MAX_RATIO,29693.766215753556,764.6
PREV_LAST24M_SIMPLE_INTERESTS_MAX,29263.99730963707,811.0
EXT_SOURCE_2,28749.197036647798,1017.5
CURRENT_TO_APPROVED_ANNUITY_MEAN_RATIO,27141.488777923583,824.4
BUREAU_DEBT_CREDIT_DIFF_MEAN,26948.59261522293,732.0
GROUP_EXT_SOURCES_STD,26860.329003810883,885.8
NAME_EDUCATION_TYPE,26673.42006549835,447.5
BUREAU_CREDIT_DEBT_CREDIT_DIFF_MEAN,26589.51733689308,898.1
EXT_SOURCES_WEIGHTED,25064.66739192009,601.0
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MEAN,24290.780734920503,731.6
BUREAU_DEBT_OVER_CREDIT,23798.987154006958,563.3
AMT_GOODS_PRICE,23559.89075202942,838.9
PREV_Cash_SIMPLE_INTERESTS_MEAN,23426.46080412865,691.5
PREV_NAME_CONTRACT_STATUS_Refused_MEAN,23338.24303064346,509.1
INS_36M_DPD_7_MEAN,21547.07746810913,444.6
LAST_LOAN_DPD_std,21514.032944774626,361.4
PREV_LAST24M_DAYS_LAST_DUE_1ST_VERSION_MAX,20485.2726252079,662.5
INS_SIGNIFICANT_LATE_PAYMENT_SUM,20435.074095773696,543.0
INCOME_TO_EMPLOYED_RATIO,20099.447782945634,802.2
BUREAU_ACTIVE_DEBT_PERCENTAGE_MEAN,20001.903888082503,687.2
DAYS_ID_PUBLISH,19978.728208971024,919.8
AMT_CREDIT,19884.809359121322,744.9
PAYMENT_MEAN_TO_ANNUITY_RATIO,19704.214562606812,635.5
ANNUITY_TO_INCOME_RATIO,19499.50168905258,821.8
PREV_Cash_SIMPLE_INTERESTS_MAX,19245.67513766289,544.2
GROUP_EXT_SOURCES_MEDIAN,18156.38808207512,705.4
BUREAU_LAST12M_DEBT_CREDIT_DIFF_MEAN,17949.571594536304,723.2
BUREAU_ACTIVE_DAYS_CREDIT_MAX,17601.38238182068,709.4
EXT_SOURCES_VAR,17226.410886240006,557.1
PREV_DAYS_TERMINATION_MAX,17215.946152830125,786.7
BUREAU_ACTIVE_DEBT_OVER_CREDIT,16974.77797217369,620.2
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MAX,16618.5032725811,568.2
CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,16553.05254421234,409.8
BUREAU_LAST12M_DEBT_PERCENTAGE_MEAN,16541.03853368759,553.7
OWN_CAR_AGE,16526.993294620515,494.3
BUREAU_CLOSED_DAYS_CREDIT_UPDATE_MAX,16335.360054969788,841.1
PHONE_TO_BIRTH_RATIO,16247.055759811401,816.9
DAYS_REGISTRATION,16126.806109523774,821.1
24_TREND_DPD,15813.446191120147,547.2
BUREAU_CREDIT_DEBT_PERCENTAGE_MEAN,15797.472426509858,580.3
DAYS_LAST_PHONE_CHANGE,15610.107013225555,769.0
60_TREND_DPD,15569.538301229477,524.5
REGION_POPULATION_RELATIVE,15516.446733427048,799.3
BUREAU_DEBT_CREDIT_DIFF_SUM,15514.375611686706,495.1
CC_LAST_AMT_BALANCE_MEAN,15091.997329425812,411.8
APPROVED_SIMPLE_INTERESTS_MIN,14852.048459529877,556.1
APPROVED_APPLICATION_CREDIT_DIFF_MAX,14804.64935541153,421.9
PREV_Cash_CNT_PAYMENT_MEAN,14610.442953634261,434.9
PREV_Cash_DAYS_LAST_DUE_1ST_VERSION_MEAN,14594.858330631256,542.7
BUREAU_CLOSED_ENDDATE_DIF_MEAN,14494.437563037873,732.1
ID_TO_BIRTH_RATIO,14388.02691488266,691.8
INS_DAYS_ENTRY_PAYMENT_MIN,14325.794694948196,450.0
CAR_TO_BIRTH_RATIO,14200.361787414551,547.3
